Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
The Power of Nutrition,the_power_of_nutrition,0,0,0,100,0,0,8,54,0,18,0,0,0,100,0,0,8,54,0,18
The Princess Alia Foundation,paf_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Queen Elizabeth Diamond Jubilee Trust,qedjt,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
The Salvation Army International Development UK,said-uk,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),unrwa,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
"The University of Dodoma (UDOM), Tanzania",udom,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
The University of Manchester,uom,0,0,0,100,0,0,0,50,0,17,0,0,0,100,0,0,0,50,0,17
The University of Oxford,oxford,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
The William and Flora Hewlett Foundation,hewlett-foundation,0,0,0,0,0,0,100,100,0,22,0,0,0,0,0,0,100,100,0,22
The World Bank,worldbank,100,96,96,98,100,100,100,30,90,90,100,96,96,98,100,100,100,30,90,90
Theatre for a Change Malawi,tfacmalawi,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Theatre for a Change UK,tfac,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Timidria,timidria,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
TradeMark East Africa,tmea,4,0,0,100,0,0,0,91,1,22,4,0,0,100,0,0,0,91,1,22
Traidcraft Exchange,traidcraft,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
transforma,transforma,0,50,50,100,0,50,0,0,0,28,0,50,50,100,0,50,0,0,0,28
Transnational Institute,tni,75,0,0,100,0,0,100,0,100,42,75,0,0,100,0,0,100,0,100,42
Transparency International Bangladesh,tib,100,0,0,100,0,42,0,0,0,27,100,0,0,100,0,100,0,0,0,33
Transparency International Kenya,ti_kenya,0,50,50,100,0,50,0,100,0,39,0,50,50,100,0,50,0,100,0,39
Transparency International Secretariat,transparency-international,94,0,0,100,0,6,100,-,0,33,94,0,0,100,0,6,100,-,0,33
Transparency International UK,ti-uk,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
TREE AID,treea,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
Triangle Génération Humanitaire,tgh,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Trianglen,trianglen,8,100,100,100,0,67,100,0,0,53,8,100,100,100,0,67,100,0,0,53
Trias,trias,100,88,88,100,0,0,100,36,81,66,100,88,88,100,0,0,100,36,81,66
Triple Line,tripleline_crownagents,0,0,0,0,0,0,0,58,0,6,0,0,0,98,0,0,0,58,0,17
Trocaire,trocaire,100,0,0,100,0,0,100,67,0,41,100,0,0,100,0,0,100,67,0,41
Trocaire (Northern Ireland),troc,100,0,0,100,0,100,100,50,0,50,100,0,0,100,0,100,100,50,0,50
Tropenbos International,tbi,90,0,0,100,0,90,0,35,67,42,90,0,0,100,0,90,0,35,67,42
Tropical Health and Education Trust,tropicalhealth,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Trust for Africa's Orphans,tao-03473165,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Trust for Indigenous Culture and Health,ticah,100,0,0,100,0,0,0,100,100,44,100,0,0,100,0,0,0,100,100,44
Twaweza,twaweza,0,0,0,46,0,0,100,100,0,27,0,0,0,100,0,0,100,100,0,33
Twin,twin-iati,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Uganda Martyrs University,umu,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
UHAI EASHRI,uhai-eashri,100,0,0,100,0,33,100,-,67,44,100,0,0,100,0,33,100,-,67,44
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",beis,100,0,0,100,100,100,100,0,0,56,100,0,0,100,100,100,100,0,0,56
"UK - Department for Digital, Culture, Media and Sport",dcms,100,0,0,100,100,50,100,100,0,61,100,0,0,100,100,50,100,100,0,61
"UK - Department for Environment, Food and Rural Affairs",defra_transparency,100,31,29,100,0,70,91,43,0,52,100,31,29,100,0,70,91,43,0,52
UK - Department for International Development (DFID),dfid,100,5,5,100,76,22,76,55,0,49,100,5,5,100,76,22,76,55,0,49
UK - Department for Work and Pensions,dwp,0,0,0,100,0,0,33,0,0,15,0,0,0,100,0,0,33,0,0,15
UK - Department of Health and Social Care (DHSC),dhsc,72,1,1,100,98,92,100,0,0,52,72,1,1,100,98,92,100,0,0,52
UK - Foreign & Commonwealth Office,fco,100,0,0,100,100,94,100,0,0,55,100,0,0,100,100,94,100,0,0,55
UK - Home Office,homeoffice,100,0,0,100,100,100,100,0,17,57,100,0,0,100,100,100,100,0,17,57
UK - Medical Research Council,mrc,0,0,0,58,0,0,0,39,0,11,0,0,0,100,0,0,0,39,0,15
UK - Ministry of Defence,ukmod,100,39,33,100,44,39,100,0,0,51,100,39,33,100,44,39,100,0,0,51
UK - Scottish Government,scottish_government,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
UK – Department for Education,dfe,0,0,0,100,100,100,100,100,0,56,0,0,0,100,100,100,100,100,0,56
ULB-Coopération,ulbcoop,100,0,0,100,0,0,100,100,82,54,100,0,0,100,0,0,100,100,82,54
UN Global Compact Local Network UK,ungc-uk,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
UN Pooled Funds,unpf,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,24,0,3
UN Women,unw,100,100,100,100,100,0,100,35,99,82,100,100,100,100,100,0,100,35,99,82
UN-Habitat,unhabitat,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Unicef Belgium National Committee,ub,100,100,40,100,0,20,100,100,20,64,100,100,40,100,0,20,100,100,20,64
UNICEF Netherlands National Committee,unicefnl,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
Unie van Waterschappen,uvw,100,0,0,100,0,0,0,25,0,25,100,0,0,100,0,0,0,25,0,25
Union des Villes et Communes de Wallonie (UVCW),uvcw,67,50,50,100,0,17,100,100,50,59,67,50,50,100,0,17,100,100,50,59
Union of Agricultural Work Committees,uawc,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
UNITAID,utd,85,0,0,100,0,74,100,-,0,40,85,0,0,100,0,74,100,-,0,40
United Disabled Persons of Kenya,udpk,100,0,0,100,0,100,100,100,100,67,100,0,0,100,0,100,100,100,100,67
United Mission to Nepal,umn,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
United Nations Capital Development Fund,uncdf,100,0,0,100,66,39,56,50,0,46,100,0,0,100,66,39,56,50,0,46
United Nations Central Emergency Response Fund (CERF),cerf,100,21,0,99,100,92,100,36,85,70,100,21,21,99,100,92,100,36,85,73
United Nations Children's Fund (UNICEF),unicef,100,100,99,100,100,100,100,56,100,95,100,100,100,100,100,100,100,56,100,95
United Nations Development Programme (UNDP),undp,100,54,54,100,63,100,100,60,58,77,100,54,54,100,63,100,100,60,58,77
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",unesco,100,0,0,60,0,1,100,28,0,32,100,0,0,60,0,1,100,28,0,32
United Nations Environment Programme (UNEP),un-environment,100,0,0,0,0,0,0,-,0,11,100,0,0,100,0,0,0,-,0,22
United Nations Foundation,unf,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
United Nations High Commissioner for Refugees (UNHCR),unhcr,100,97,97,93,100,100,100,60,78,92,100,97,97,93,100,100,100,60,78,92
United Nations Industrial Development Organization (UNIDO),unido,0,77,77,100,0,0,0,0,0,28,0,77,77,100,0,0,0,0,0,28
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),unaids,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
United Nations Office for Project Services (UNOPS),unops,100,87,87,0,0,100,100,18,0,55,100,87,87,0,0,100,100,18,0,55
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),unocha,100,100,100,100,100,100,100,100,0,89,100,100,100,100,100,100,100,100,0,89
United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),unocha-sdc,100,0,0,100,0,75,100,0,100,53,100,0,0,100,0,75,100,0,100,53
United Nations Population Fund,unfpa,100,100,99,89,92,81,92,0,57,79,100,100,100,89,92,82,92,0,57,79
United Nations World Food Programme (WFP),wfp,100,100,100,100,100,100,100,45,72,91,100,100,100,100,100,100,100,45,72,91
United Purpose,cu,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
United States,unitedstates,100,99,0,100,88,90,100,20,0,66,100,99,0,100,88,90,100,20,0,66
United States Agency for International Development (USAID),usaid,100,2,2,100,0,15,100,40,0,40,100,2,2,100,0,15,100,40,0,40
United Work,united_work,0,0,0,100,100,100,100,0,0,44,0,0,0,100,100,100,100,0,0,44
Universitair Centrum voor Ontwikkelingssamenwerking,ucos,100,33,33,100,0,33,100,100,33,59,100,33,33,100,0,33,100,100,33,59
Universiteit Leiden,universiteit_leiden,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
University College London,ucl,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
University of Amsterdam,uva_org,92,0,0,92,0,0,100,27,100,46,92,0,0,92,0,0,100,27,100,46
University of Birmingham (Governance and Social Development Resource Centre),universityofbirmingham_gsdrc,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
University of Dundee,uodcepmlp,0,0,0,0,0,100,0,-,0,11,0,0,0,0,0,100,0,-,0,11
University of Kinshasa,dspd_unikin,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
University of Leeds,leedsuni,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
University of Nottingham,uni_of_nottingham,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
University Of Zimbabwe,1-uz,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
University Twente,utwente,0,0,0,100,0,0,0,0,100,22,0,0,0,100,0,0,0,0,100,22
Upper Quartile,uq,100,0,0,100,0,0,100,83,0,43,100,0,0,100,0,0,100,83,0,43
Urgent Action Fund for Women's Human Rights,uaf,100,0,0,100,0,0,100,-,80,42,100,0,0,100,0,0,100,-,80,42
Urgent Action Fund Latin America and the Caribbean,uafla,100,0,0,100,0,0,100,-,78,42,100,0,0,100,0,0,100,-,78,42
Urgent Action Fund-Africa,uaf-africa,0,0,0,100,0,0,0,-,75,19,0,0,0,100,0,0,0,-,75,19
UTZ,utz,99,61,61,100,0,1,100,61,12,55,99,61,61,100,0,1,100,61,12,55
UWEZO Youth Empowerment,uwezo_youth_empowerment,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Varkey Foundation,varkeyfoundation,0,0,0,96,0,0,0,100,0,22,0,0,0,96,0,0,0,100,0,22
VEI (Vitens-Evides International),vei_nl,0,0,0,100,0,4,100,58,56,35,0,0,0,100,0,4,100,58,56,35
VETERINAIRES SANS FRONTIERES / DIERENARTSEN ZONDER GRENZEN - BELGIUM,vsfbelgium,100,80,70,100,0,10,100,100,80,71,100,80,70,100,0,10,100,100,80,71
VIA Don Bosco,via-db,100,86,64,100,0,93,100,83,86,79,100,86,79,100,0,93,100,83,86,81
Village Enterprise,villageenterprise,50,0,0,100,0,0,100,100,0,39,50,0,0,100,0,0,100,100,0,39
Village Water Ltd,villagewater,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Vision Aid Overseas,vao,100,0,0,100,0,100,100,0,0,44,100,0,0,100,0,100,100,0,0,44
Vision for a Nation Foundation,vfan,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
VisionFund International,vfi,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Viva,viva,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
Viva Salud,g3w-m3m_admin,100,0,0,100,0,0,100,71,78,50,100,0,0,100,0,0,100,71,78,50
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),vlir-uos,100,96,96,100,0,4,100,25,85,67,100,96,96,100,0,4,100,25,85,67
VNG International,vngi,100,100,100,86,7,100,100,50,100,83,100,100,100,86,7,100,100,50,100,83
Voluntary Health Association of India,vhai-org,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Voluntary Service Overseas (VSO),vso,29,0,0,94,0,65,47,55,0,32,29,0,0,94,0,65,47,55,0,32
VVOB Education for Development,vvob,100,80,80,100,0,87,100,75,80,78,100,80,80,100,0,87,100,75,80,78
VVSG - Vereniging van Vlaamse Steden en Gemeenten,vvsg,100,80,80,100,0,7,100,92,80,71,100,80,80,100,0,7,100,92,80,71
Wageningen University & Research - Stichting Wageningen Research,wageningen_ur,25,0,0,58,0,42,100,18,42,32,25,0,0,58,0,42,100,18,42,32
War Child Canada,wcc,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
War Child Holland,warchildholland,10,14,4,99,0,0,18,11,12,19,10,14,4,99,0,0,18,11,12,19
War Child UK,wcuk,21,15,0,90,0,10,100,3,3,27,21,15,0,92,0,10,100,3,3,27
War on Want,waronwant,50,0,0,0,0,100,100,50,0,33,50,0,0,0,0,100,100,50,0,33
War on Want NI,wowni,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
WASH Alliance International,wai,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
WASTE advisers on urban environment and development,waste,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Water & Sanitation for the Urban Poor (WSUP),wsup,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
Water Finance Facility,wff,100,0,0,100,0,0,100,100,50,50,100,0,0,100,0,0,100,100,50,50
Water for People,w4p,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Water Integrity Network Association,win,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Water Witness International,water-witness-international,0,0,0,83,0,0,0,100,0,20,0,0,0,83,0,0,0,100,0,20
Water Works,waterworks,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
WaterAid,wateraid,99,0,0,2,0,11,86,41,2,27,99,0,0,100,0,11,86,41,2,38
We Effect,weeffect,0,0,0,100,0,0,100,0,100,33,0,0,0,100,0,0,100,0,100,33
We World - GVC Onlus,ww-gvc,100,0,0,100,0,0,100,100,50,50,100,0,0,100,0,0,100,100,50,50
Welbodi Partnership,welbodipartnership,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Wellfound,wellfound,100,0,0,0,0,0,100,50,0,28,100,0,0,0,0,0,100,50,0,28
Welthungerhilfe,whh,100,0,0,100,0,0,100,63,0,40,100,0,0,100,0,0,100,63,0,40
Wemos Foundation,wemos,100,67,67,100,0,67,33,-,67,56,100,67,67,100,0,67,33,-,67,56
Wereldsolidariteit-Solidarité Mondiale (WSM),wsm,100,78,78,100,0,11,100,100,78,72,100,78,78,100,0,11,100,100,78,72
Westminster Foundation for Democracy,wfd,0,0,0,100,0,0,0,63,0,18,0,0,0,100,0,0,0,63,0,18
Wetlands International,wi,100,100,100,100,5,100,100,47,77,81,100,100,100,100,5,100,100,47,77,81
Win Win Strategies,wws,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Windle Trust Kenya,wtk,0,0,0,0,0,0,100,100,0,22,0,0,0,100,0,0,100,100,0,33
WNF Wereld Natuur Fonds,wnf,0,83,67,100,0,0,67,0,100,46,0,83,67,100,0,0,67,0,100,46
"WO=MEN, Dutch Gender Platform",wo-men,63,0,0,100,0,13,100,100,75,50,63,0,0,100,0,13,100,100,75,50
Wolayita Development Association,woda_0486,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
Womankind Worldwide,womankindworld,100,0,0,100,0,33,67,33,0,37,100,0,0,100,0,33,67,33,0,37
Women and Children First (UK),wcf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Women Engage for a Common Future,wecf,0,0,0,100,0,100,0,-,100,33,0,0,0,100,0,100,0,-,100,33
Women Environmental Programme,wep,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Women for Women International (UK),wfwiuk,100,100,0,100,0,100,100,50,33,65,100,100,33,100,0,100,100,50,33,68
Women Peacemakers Program,wpp,100,0,0,100,0,0,100,-,100,44,100,0,0,100,0,0,100,-,100,44
Women's Action Group,wag-1983,0,100,100,100,0,0,0,100,0,44,0,100,100,100,0,0,0,100,0,44
Women's Environment & Development Organization,wedo,0,0,0,100,0,100,100,-,100,44,0,0,0,100,0,100,100,-,100,44
Women's Fund Asia,wf-asia,0,0,0,100,0,0,0,-,20,13,0,0,0,100,0,0,0,-,20,13
Women's Global Network on Reproductive Rights,wgnrr_iati,100,0,0,100,0,0,100,100,100,56,100,0,0,100,0,0,100,100,100,56
Women's Refugee Commission,w_r_c,100,0,0,100,0,0,100,100,100,56,100,0,0,100,0,0,100,100,100,56
World Agroforestry Centre,icraf_,100,100,100,100,0,100,100,-,100,78,100,100,100,100,0,100,100,-,100,78
World Association for Christian Communication (UK),wacc-uk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
World Benchmarking Alliance Foundation,wba,0,0,0,100,0,100,0,-,0,22,0,0,0,100,0,100,0,-,0,22
World Child Cancer UK,wccuk,100,0,0,100,0,33,0,33,0,30,100,0,0,100,0,33,0,33,0,30
World Economic Forum,worldeconomicforum,100,0,0,0,0,100,100,-,0,33,100,0,0,0,0,100,100,-,0,33
World Economic Forum Geneva,weforum_geneva,100,0,0,100,0,0,100,-,100,44,100,0,0,100,0,0,100,-,100,44
World Education Inc.,wei,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
World Federalist Movement - Institute for Global Policy,wfm-igp,0,0,0,100,0,100,0,-,100,33,0,0,0,100,0,100,0,-,100,33
World Health Organization,who,0,100,99,93,0,85,100,28,0,56,0,100,100,93,0,86,100,28,0,56
World Jewish Relief,wjr_001,100,0,0,100,0,0,100,25,0,36,100,0,0,100,0,0,100,25,0,36
World Resources Institute,wri,100,0,0,67,0,100,67,0,33,41,100,0,0,67,0,100,67,0,33,41
World University Service of Canada,wusc,0,0,0,0,0,0,100,0,0,11,0,0,0,0,0,0,100,0,0,11
World Vegetable Center,worldveg,0,0,0,100,0,0,0,50,0,17,0,0,0,100,0,0,0,50,0,17
World Vision International,wvi,100,0,0,100,0,98,100,26,0,47,100,0,0,100,0,98,100,26,0,47
World Vision Netherlands,wvnld,85,0,0,100,0,15,100,15,77,44,85,0,0,100,0,15,100,15,77,44
World Vision Syria,wvsyria,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
World Vision UK,wvuk,67,30,0,42,0,24,100,29,0,32,67,30,0,97,0,61,100,29,0,43
World Vision Zimbabwe,wvz-gec,25,0,0,100,0,0,0,100,0,25,25,0,0,100,0,0,0,100,0,25
World Waternet,worldwaternet,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
World Wide Fund for Nature - Pakistan,wwfpakistan,0,0,0,0,0,0,100,100,0,22,0,0,0,0,0,0,100,100,0,22
World Wide Fund for Nature Belgium (WWF-BE),wwf-be,100,67,67,100,0,17,100,50,67,63,100,67,67,100,0,17,100,50,67,63
World Wide Fund for Nature Denmark,wwfdk,0,0,0,7,0,0,7,50,0,7,0,0,0,7,0,0,7,50,0,7
Worldwide Hospice Palliative Care Alliance,whpca,0,0,0,100,0,100,100,0,0,33,0,0,0,100,0,100,100,0,0,33
WWF Sweden,wwf-se,0,0,0,100,0,0,100,0,100,33,0,0,0,100,0,0,100,0,100,33
WWF-UK,wwf-uk,0,0,0,43,0,0,0,31,0,8,0,0,0,43,0,0,0,31,0,8
WYG International B.V.,wygi,100,0,0,100,0,0,100,50,0,39,100,0,0,100,0,0,100,50,0,39
Y Care International,ycare,100,0,0,67,0,33,0,50,0,28,100,0,0,67,0,33,0,50,0,28
Yamaan Foundation for Health and Social Development,yffhsd,100,0,0,100,0,50,50,0,100,44,100,0,0,100,0,50,100,0,100,50
YMCA of Liberia,libymca,0,0,0,100,0,0,0,100,100,33,0,0,0,100,0,0,0,100,100,33
Young Africa International HUB,yai-hub,0,100,100,100,0,0,0,-,100,44,0,100,100,100,0,0,0,-,100,44
Young Innovations Pvt. Ltd,yipl,50,0,0,100,0,0,50,0,0,22,50,0,0,100,0,0,50,0,0,22
Youth Business International,ybi,100,100,100,0,0,100,0,100,0,56,100,100,100,100,0,100,0,100,0,67
Youth Net and Counselling - YONECO,yoneco1997,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
YWCA of Bangladesh,ywcabd,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Zambia Orphans Aid UK,zoa_uk,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
Zimbabwe Educational Trust,zet,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Zing,zing,0,0,0,23,0,0,0,100,0,14,0,0,0,100,0,0,0,100,0,22
ZOA,zoa,24,64,54,100,0,8,100,30,88,52,24,64,59,100,0,8,100,30,88,53
Zoological Society of London,zsl,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
